date,BTC,SOL,solbtc,solbtc_ma180,solbtc_gap,solbtc_gap_lag1,btc_ma200,btc_ma200_gap
2024-01-07,43916.9,89.414,0.002035981592507668,0.0011692053206066222,0.7413379469153747,0.8365624100984284,32521.285999999996,0.35040477796603753
2024-01-08,46972.7,97.901,0.002084210615953522,0.0011767728547497076,0.7711239748106027,0.7413379469153747,32606.774499999996,0.4405810056434747
2024-01-09,46114.0,99.347,0.0021543782799149933,0.0011841444019419188,0.8193543594699724,0.7711239748106027,32683.9775,0.41090538934558984
2024-01-10,46662.9,102.063,0.002187240827295346,0.001191404485956372,0.8358507568817737,0.8193543594699724,32764.671000000002,0.42418338337656425
2024-01-11,46337.8,99.928,0.0021565115305430984,0.00119834652766824,0.799572561652321,0.8358507568817737,32844.07,0.41084220073821553
2024-01-12,42788.9,92.153,0.0021536660208605505,0.001205272934946299,0.786869976431112,0.799572561652321,32906.71400000001,0.3003091101712554
2024-01-13,42846.4,95.836,0.0022367340079913365,0.0012127588897972144,0.8443352811582698,0.786869976431112,32967.53,0.2996545388750689
2024-01-14,41734.9,93.83,0.002248238284984509,0.0012204942605345973,0.8420719848364895,0.8443352811582698,33025.873,0.2637031578241702
2024-01-15,42515.0,94.359,0.0022194284370222273,0.0012279373953874824,0.8074442926480583,0.8420719848364895,33086.2485,0.2849749345260464
2024-01-16,43133.0,97.637,0.0022636264577006004,0.0012357829221501062,0.8317346980019567,0.8074442926480583,33149.6125,0.3011615143314268
2024-01-17,42783.4,102.155,0.002387725145734093,0.001244309984081185,0.9189150422972947,0.8317346980019567,33210.6615,0.28824293367357345
2024-01-18,41323.1,94.389,0.0022841703550798465,0.0012524275636825902,0.8237943824579836,0.9189150422972947,33264.2135,0.24226896270973008
2024-01-19,41662.2,93.596,0.002246544829605734,0.001260335456659259,0.782497522969477,0.8237943824579836,33316.779500000004,0.25048701060677225
2024-01-20,41691.8,92.9,0.0022282559160314496,0.0012682658379851107,0.7569312752060495,0.782497522969477,33371.458000000006,0.24932509691365579
2024-01-21,41580.0,91.105,0.002191077441077441,0.0012760147802311536,0.7171254400991511,0.7569312752060495,33426.916,0.2439077538591954
2024-01-22,39567.0,83.883,0.0021200242626431116,0.001283027406312286,0.6523608554368654,0.7171254400991511,33475.379,0.18197317497137222
2024-01-23,39890.0,84.325,0.0021139383304086237,0.0012900014032398168,0.6387101014770242,0.6523608554368654,33523.1895,0.1899225758336629
