signal_date,value,cum,dd,variant
2026-03-08,-379.14288272840895,-2282.8112037125534,-2113.3067894568658,rank2_skip_FRneg_OIsurge5pct
2026-03-09,-613.1942274044799,-2896.0054311170334,-2726.5010168613458,rank2_skip_FRneg_OIsurge5pct
2026-03-10,103.76631623891075,-2792.2391148781226,-2622.734700622435,rank2_skip_FRneg_OIsurge5pct
2026-03-11,-1660.4163258064523,-4452.655440684575,-4283.151026428888,rank2_skip_FRneg_OIsurge5pct
2026-03-12,752.575757575758,-3700.0796831088173,-3530.5752688531297,rank2_skip_FRneg_OIsurge5pct
2026-03-13,706.4997570200021,-2993.5799260888152,-2824.0755118331276,rank2_skip_FRneg_OIsurge5pct
2026-03-14,147.21402214021907,-2846.365903948596,-2676.8614896929084,rank2_skip_FRneg_OIsurge5pct
2026-03-15,-341.2071767013481,-3187.573080649944,-3018.0686663942565,rank2_skip_FRneg_OIsurge5pct
2026-03-16,141.5935318360261,-3045.979548813918,-2876.4751345582304,rank2_skip_FRneg_OIsurge5pct
2026-03-17,1207.1466868434275,-1838.8328619704905,-1669.3284477148031,rank2_skip_FRneg_OIsurge5pct
2026-03-18,246.7692060916277,-1592.0636558788628,-1422.5592416231752,rank2_skip_FRneg_OIsurge5pct
2026-03-19,-338.6734363065609,-1930.7370921854238,-1761.2326779297364,rank2_skip_FRneg_OIsurge5pct
2026-03-20,777.2405029602253,-1153.4965892251985,-983.992174969511,rank2_skip_FRneg_OIsurge5pct
2026-03-21,346.2753922222877,-807.2211970029108,-637.7167827472233,rank2_skip_FRneg_OIsurge5pct
2026-03-22,-876.2010472457803,-1683.4222442486912,-1513.9178299930036,rank2_skip_FRneg_OIsurge5pct
2026-03-23,993.0817220343879,-690.3405222143033,-520.8361079586158,rank2_skip_FRneg_OIsurge5pct
2026-03-24,460.52680095339883,-229.81372126090446,-60.309307005216965,rank2_skip_FRneg_OIsurge5pct
2026-03-25,891.9827581287318,662.1690368678273,0.0,rank2_skip_FRneg_OIsurge5pct
2026-03-26,1167.5317513319833,1829.7007881998106,0.0,rank2_skip_FRneg_OIsurge5pct
2026-03-27,567.9987802046248,2397.6995684044355,0.0,rank2_skip_FRneg_OIsurge5pct
2026-03-28,709.4752992744994,3107.174867678935,0.0,rank2_skip_FRneg_OIsurge5pct
2026-03-29,-825.8394464805468,2281.335421198388,-825.8394464805469,rank2_skip_FRneg_OIsurge5pct
2026-03-30,589.5529313385857,2870.888352536974,-236.286515141961,rank2_skip_FRneg_OIsurge5pct
2026-03-31,114.21027817067554,2985.098630707649,-122.07623697128565,rank2_skip_FRneg_OIsurge5pct
2026-04-01,-4250.72808854792,-1265.6294578402712,-4372.804325519206,rank2_skip_FRneg_OIsurge5pct
2026-03-02,-169.5044142556875,-169.5044142556875,0.0,rank2_skip_FRneg_OIup_demean_q75
2026-03-03,-709.6544937907433,-879.1589080464308,-709.6544937907433,rank2_skip_FRneg_OIup_demean_q75
2026-03-04,-1521.1795928071203,-2400.338500853551,-2230.8340865978635,rank2_skip_FRneg_OIup_demean_q75
2026-03-05,1310.1642968860508,-1090.1742039675003,-920.6697897118128,rank2_skip_FRneg_OIup_demean_q75
2026-03-06,-319.02709512791694,-1409.2012990954172,-1239.6968848397296,rank2_skip_FRneg_OIup_demean_q75
2026-03-07,-494.46702188872723,-1903.6683209841444,-1734.1639067284568,rank2_skip_FRneg_OIup_demean_q75
2026-03-08,-379.14288272840895,-2282.8112037125534,-2113.3067894568658,rank2_skip_FRneg_OIup_demean_q75
2026-03-09,-613.1942274044799,-2896.0054311170334,-2726.5010168613458,rank2_skip_FRneg_OIup_demean_q75
2026-03-10,103.76631623891075,-2792.2391148781226,-2622.734700622435,rank2_skip_FRneg_OIup_demean_q75
2026-03-11,-1655.2550258064523,-4447.494140684575,-4277.9897264288875,rank2_skip_FRneg_OIup_demean_q75
2026-03-12,1155.4992274974097,-3291.994913187165,-3122.4904989314773,rank2_skip_FRneg_OIup_demean_q75
2026-03-13,706.4997570200021,-2585.495156167163,-2415.990741911475,rank2_skip_FRneg_OIup_demean_q75
2026-03-14,237.0746492942663,-2348.4205068728966,-2178.916092617209,rank2_skip_FRneg_OIup_demean_q75
2026-03-15,-341.2071767013481,-2689.6276835742447,-2520.123269318557,rank2_skip_FRneg_OIup_demean_q75
2026-03-16,141.5935318360261,-2548.0341517382185,-2378.529737482531,rank2_skip_FRneg_OIup_demean_q75
2026-03-17,1207.1466868434275,-1340.887464894791,-1171.3830506391037,rank2_skip_FRneg_OIup_demean_q75
2026-03-18,246.7692060916277,-1094.1182588031634,-924.6138445474759,rank2_skip_FRneg_OIup_demean_q75
2026-03-19,-338.6734363065609,-1432.7916951097243,-1263.287280854037,rank2_skip_FRneg_OIup_demean_q75
2026-03-20,777.2405029602253,-655.551192149499,-486.0467778938115,rank2_skip_FRneg_OIup_demean_q75
2026-03-21,346.2753922222877,-309.2757999272113,-139.77138567152383,rank2_skip_FRneg_OIup_demean_q75
2026-03-22,-876.2010472457803,-1185.4768471729917,-1015.9724329173042,rank2_skip_FRneg_OIup_demean_q75
2026-03-23,993.0817220343879,-192.39512513860382,-22.890710882916323,rank2_skip_FRneg_OIup_demean_q75
2026-03-24,460.52680095339883,268.131675814795,0.0,rank2_skip_FRneg_OIup_demean_q75
2026-03-25,891.9827581287318,1160.1144339435268,0.0,rank2_skip_FRneg_OIup_demean_q75
2026-03-26,1167.5317513319833,2327.64618527551,0.0,rank2_skip_FRneg_OIup_demean_q75
2026-03-27,567.9987802046248,2895.644965480135,0.0,rank2_skip_FRneg_OIup_demean_q75
2026-03-28,709.4752992744994,3605.1202647546343,0.0,rank2_skip_FRneg_OIup_demean_q75
2026-03-29,-825.8394464805468,2779.2808182740873,-825.8394464805469,rank2_skip_FRneg_OIup_demean_q75
2026-03-30,589.5529313385857,3368.8337496126733,-236.286515141961,rank2_skip_FRneg_OIup_demean_q75
2026-03-31,114.21027817067554,3483.0440277833486,-122.07623697128565,rank2_skip_FRneg_OIup_demean_q75
2026-04-01,-3791.6259251668243,-308.58189738347573,-3913.70216213811,rank2_skip_FRneg_OIup_demean_q75
2026-03-02,-169.5044142556875,-169.5044142556875,0.0,rank2_skip_FRneg_OIup_demean_0.5pct
