period,variant,mode,positions,active_days,adjusted_positions,adjusted_rank1,adjusted_rank2,total_bps,mean_active_day_bps,win_rate_active_day,maxdd_bps,worst_day_bps,best_day_bps,delta_total_vs_baseline,dd_improvement_vs_baseline
pre2026,skip_no_pullback_close_loc_ge95,skip,1878,939,118,55,63,62772.099665909525,66.84994639606977,0.5197018104366348,-19694.335605835877,-10183.214204984763,5496.6380354619705,,
pre2026,half_no_pullback_close_loc_ge95,half,1878,939,118,55,63,60544.873920620725,64.47803399427127,0.5292864749733759,-19598.13418374656,-10183.214204984763,5496.6380354619705,,
pre2026,skip_no_pullback_idio10_close90,skip,1878,939,58,42,16,55850.94572317857,59.47917542404532,0.5197018104366348,-19741.175808478765,-10183.214204984763,5496.6380354619705,,
pre2026,half_no_pullback_idio10_close90,half,1878,939,58,42,16,57084.296949255244,60.79264850825905,0.5282215122470714,-20884.311661619846,-10183.214204984763,5496.6380354619705,,
pre2026,skip_pullback_lt20_idio10,skip,1878,939,135,88,47,49177.553791797814,52.3722617591031,0.5090521831735889,-18743.66107467102,-10183.214204984763,5496.6380354619705,,
pre2026,half_pullback_lt20_idio10,half,1878,939,135,88,47,53747.600983564866,57.23919167578792,0.5271565495207667,-20501.914435048948,-10183.214204984763,5496.6380354619705,,
pre2026,skip_pullback_lt10_idio10,skip,1878,939,58,42,16,55850.94572317857,59.47917542404532,0.5197018104366348,-19741.175808478765,-10183.214204984763,5496.6380354619705,,
pre2026,half_pullback_lt10_idio10,half,1878,939,58,42,16,57084.296949255244,60.79264850825905,0.5282215122470714,-20884.311661619846,-10183.214204984763,5496.6380354619705,,
pre2026,skip_cooldown_7d_loss1000,skip,1878,939,42,30,12,44344.78973473609,47.225548173307864,0.5228966986155484,-25337.09754809492,-10183.214204984763,5496.6380354619705,,
pre2026,half_cooldown_7d_loss1000,half,1878,939,42,30,12,51331.21895503401,54.665834882890316,0.5271565495207667,-23895.269226051536,-10183.214204984763,5496.6380354619705,,
pre2026,skip_cooldown_14d_loss1000,skip,1878,939,68,48,20,51929.017344056825,55.302467885044535,0.5186368477103301,-22927.152795460475,-7360.891577610625,5496.6380354619705,,
pre2026,half_cooldown_14d_loss1000,half,1878,939,68,48,20,55123.33275969438,58.70429473875865,0.5260915867944622,-22512.722912993704,-8670.648008634398,5496.6380354619705,,
pre2026,skip_cooldown_30d_loss1000,skip,1878,939,94,63,31,55360.297234925165,58.95665307233775,0.5207667731629393,-22468.213564586556,-7360.891577610625,5496.6380354619705,,
pre2026,half_cooldown_30d_loss1000,half,1878,939,94,63,31,56838.972705128544,60.53138733240526,0.5250266240681576,-22460.827234297358,-8670.648008634398,5496.6380354619705,,
pre2026,skip_cooldown_14d_loss2000,skip,1878,939,22,14,8,50519.80941075566,53.80171396246608,0.5250266240681576,-20598.146087470897,-7360.891577610625,5496.6380354619705,,
pre2026,half_cooldown_14d_loss2000,half,1878,939,22,14,8,54418.72879304379,57.95391777746942,0.5271565495207667,-21525.79349573955,-8670.648008634398,5496.6380354619705,,
pre2026,skip_cooldown_30d_loss2000,skip,1878,939,34,22,12,47966.05002046418,51.082055399855356,0.5218317358892439,-20956.558024829148,-7360.891577610625,5496.6380354619705,,
